dataset,samples,mean,std
Iris,1,0.3333333333333333,0.0
Iris,5,0.3333333333333333,0.0
Iris,10,0.3333333333333333,0.0
Iris,25,0.3333333333333333,0.0
Iris,50,0.62,0.03800584750330459
Iris,75,0.6466666666666666,0.029814239699997188
Iris,100,0.9200000000000002,0.055777335102271695
Iris,150,0.9266666666666667,0.0641179468722378
Iris,200,0.9266666666666667,0.0641179468722378
Digits,1,0.09905292479108634,0.0014285104629479782
Digits,5,0.21424172082946455,0.024121141799440134
Digits,10,0.3088254410399257,0.03342384440928999
Digits,25,0.49579232435778386,0.06319607659862758
Digits,50,0.5686768802228411,0.0675477446185673
Digits,75,0.6877607551841536,0.06885544007448903
Digits,100,0.7272810275456515,0.04994773421253144
Digits,150,0.7596131228721758,0.03140911496752257
Digits,200,0.7707397090684,0.03528458780579745
MNIST,1,0.092,0.0037267799624996485
MNIST,5,0.17261666666666667,0.03664746656394621
MNIST,10,0.2622833333333333,0.03390563907539734
MNIST,25,0.42823333333333335,0.037399374252043885
MNIST,50,0.5739000000000001,0.021316106325708014
MNIST,75,0.6510333333333334,0.0335137616841533
MNIST,100,0.68485,0.013884618788029048
MNIST,150,0.7306166666666666,0.01840833144711021
MNIST,200,0.7558666666666667,0.03391546885681778
Fashion MNIST,1,0.1,0.0
Fashion MNIST,5,0.11796666666666666,0.015854766195409854
Fashion MNIST,10,0.16394999999999998,0.037718741657460184
Fashion MNIST,25,0.31045,0.06046244242870482
Fashion MNIST,50,0.4386333333333334,0.06443850966446832
Fashion MNIST,75,0.5584666666666667,0.04161699539317508
Fashion MNIST,100,0.6171333333333333,0.03288202818832465
Fashion MNIST,150,0.6389,0.02009753992684456
Fashion MNIST,200,0.6554333333333333,0.013631102099406508
