index,mean,std,method,dataset
tiempo (s),0.0013213034078944474,0.00017995403083643453,PCA,Iris
memoria (Mb),0.0184224,0.012980235313737577,PCA,Iris
tiempo (s),0.002319374802755192,0.00018296881413591587,LDA,Iris
memoria (Mb),0.023554200000000004,0.011607876084796907,LDA,Iris
tiempo (s),2.7376787160057576,5.854860205428388,UMAP,Iris
memoria (Mb),5.271103,11.060207135407774,UMAP,Iris
tiempo (s),0.5819710317999125,0.16176494267533995,t-SNE,Iris
memoria (Mb),0.7253798,0.11258118917119324,t-SNE,Iris
tiempo (s),0.01276587700122036,0.0006578859981954758,SOM,Iris
memoria (Mb),0.06049,0.009458355644613918,SOM,Iris
tiempo (s),0.00188060860382393,6.635251377802908e-05,PCA,Digits
memoria (Mb),0.093408,0.00025196825196837524,PCA,Digits
tiempo (s),0.03441232939949259,0.030223325918216373,LDA,Digits
memoria (Mb),1.6071774,0.0005608678988853645,LDA,Digits
tiempo (s),2.6386444622010456,0.05816480643494492,UMAP,Digits
memoria (Mb),33.6584368,0.025385845095250444,UMAP,Digits
tiempo (s),5.50099379120511,1.1559062200124448,t-SNE,Digits
memoria (Mb),7.8846186000000005,0.002976628680235215,t-SNE,Digits
tiempo (s),0.11860563799855299,0.004386943042928339,SOM,Digits
memoria (Mb),0.7656948,0.0003785177670863243,SOM,Digits
tiempo (s),0.2295236705977004,0.044882139726747705,PCA,MNIST
memoria (Mb),12.3093678,0.0002633480586602848,PCA,MNIST
tiempo (s),1.7401150119956583,0.2319414659917688,LDA,MNIST
memoria (Mb),629.4268302,0.0014024618355059533,LDA,MNIST
tiempo (s),26.60241688900278,11.533060613607644,UMAP,MNIST
memoria (Mb),859.7796420000001,15.585759790328074,UMAP,MNIST
tiempo (s),198.00367951720256,24.93883281819576,t-SNE,MNIST
memoria (Mb),315.51972179999996,0.0004109193351596641,t-SNE,MNIST
tiempo (s),13.468529590399703,0.7624432095872484,SOM,MNIST
memoria (Mb),157.7647238,0.00010669208030192992,SOM,MNIST
tiempo (s),0.21025674539851025,0.01943678623988915,PCA,Fashion MNIST
memoria (Mb),12.309474,0.0,PCA,Fashion MNIST
tiempo (s),1.6539213373966049,0.18642575503493916,LDA,Fashion MNIST
memoria (Mb),629.554779,0.0,LDA,Fashion MNIST
tiempo (s),22.62434274900006,0.15743655013737284,UMAP,Fashion MNIST
memoria (Mb),889.7306576000001,0.7732541954808734,UMAP,Fashion MNIST
tiempo (s),215.1917541318049,1.277010499713592,t-SNE,Fashion MNIST
memoria (Mb),315.5197018,6.224708827198524e-05,t-SNE,Fashion MNIST
tiempo (s),15.973662599996896,0.7586520909112986,SOM,Fashion MNIST
memoria (Mb),158.03596,0.09285496015022389,SOM,Fashion MNIST
