index,mean,std,method,dataset
tiempo (s),0.0030876757999067196,0.0032374911349670834,PCA,Iris
memoria (Mb),0.017081400000000004,0.01321947282610014,PCA,Iris
trust,0.9785089285714286,0.0020956111427237437,PCA,Iris
continuity,0.6566666666666666,0.022760833806246127,PCA,Iris
tiempo (s),0.004606836799939629,0.004021963681342522,LDA,Iris
memoria (Mb),0.0225386,0.011123804780739368,LDA,Iris
trust,0.905690476190476,0.00884713981871762,LDA,Iris
continuity,0.3786666666666666,0.01604680653588119,LDA,Iris
tiempo (s),3.194930982402002,6.846666786392456,UMAP,Iris
memoria (Mb),5.2400366,10.99115702113803,UMAP,Iris
trust,0.9808720238095237,0.0014665327682192224,UMAP,Iris
continuity,0.6646666666666666,0.007940752833047703,UMAP,Iris
tiempo (s),0.7438544414006174,0.25290048984658314,t-SNE,Iris
memoria (Mb),0.7218595999999999,0.10573290051256515,t-SNE,Iris
trust,0.9875684523809524,0.0015606777923342187,t-SNE,Iris
continuity,0.7233333333333334,0.01532064692570853,t-SNE,Iris
tiempo (s),0.01859548219945282,0.002996342691788851,SOM,Iris
memoria (Mb),0.060169799999999996,0.00887862831185088,SOM,Iris
trust,0.9261964285714285,0.006675758442265457,SOM,Iris
continuity,0.32,0.018295415333416797,SOM,Iris
tiempo (s),0.003094240199425258,0.0025490279821444653,PCA,Digits
memoria (Mb),0.09231199999999999,0.0005366563145999462,PCA,Digits
trust,0.8271674329205766,0.0021831320905113223,PCA,Digits
continuity,0.08875913058711601,0.0017265617951290222,PCA,Digits
tiempo (s),0.03883146040025167,0.03656701400538136,LDA,Digits
memoria (Mb),1.6069774,0.000560867898885243,LDA,Digits
trust,0.7996220961604547,0.0071926477073761055,LDA,Digits
continuity,0.06377296620315656,0.003124908337043974,LDA,Digits
tiempo (s),3.834764195200114,0.08721898257878312,UMAP,Digits
memoria (Mb),33.6584624,0.02532944414708001,UMAP,Digits
trust,0.9884773947623995,0.00048320171474194233,UMAP,Digits
continuity,0.43161020631957125,0.010021144012557829,UMAP,Digits
tiempo (s),7.905760390599608,0.8192580701454725,t-SNE,Digits
memoria (Mb),7.884274,0.0030589048693938094,t-SNE,Digits
trust,0.9948369997255077,0.0002668102955231637,t-SNE,Digits
continuity,0.6001115753632151,0.004007512796838905,t-SNE,Digits
tiempo (s),0.17663228559977143,0.006810804123140121,SOM,Digits
memoria (Mb),0.7662178000000001,0.00018781027660916703,SOM,Digits
trust,0.9734481840557361,0.0014671151614655653,SOM,Digits
continuity,0.1407636447048644,0.005271992184275227,SOM,Digits
tiempo (s),0.17508509599865646,0.011683586927336186,PCA,MNIST
memoria (Mb),12.309206,0.0016319656859140653,PCA,MNIST
trust,0.7358596294122877,0.0006810973894606903,PCA,MNIST
continuity,0.00826133333333332,0.00020387359918447762,PCA,MNIST
tiempo (s),1.898124952398939,0.14226920765918366,LDA,MNIST
memoria (Mb),629.4266302,0.001402461835455111,LDA,MNIST
trust,0.7030638440917579,0.0018268218928100682,LDA,MNIST
continuity,0.004133333333333345,0.00012823589374444418,LDA,MNIST
tiempo (s),27.96199404520157,13.31902144273841,UMAP,MNIST
memoria (Mb),859.6830322,15.328277847549598,UMAP,MNIST
trust,0.9588086548412911,0.0004941465448981848,UMAP,MNIST
continuity,0.10889866666666666,0.0006947965329665047,UMAP,MNIST
tiempo (s),246.92842968820042,29.084448342044784,t-SNE,MNIST
memoria (Mb),315.5201582,0.00019669443306605318,t-SNE,MNIST
trust,0.9943737983017693,7.126117447865432e-05,t-SNE,MNIST
continuity,0.3893586666666667,0.0006496392161123807,t-SNE,MNIST
tiempo (s),15.570789812601287,0.2908137098082107,SOM,MNIST
memoria (Mb),157.769802,0.0020287558995669168,SOM,MNIST
trust,0.9457808057259713,0.000888393242433113,SOM,MNIST
continuity,0.009842666666666666,0.00024497618931914163,SOM,MNIST
tiempo (s),0.21207139680045656,0.043448801036280925,PCA,Fashion MNIST
memoria (Mb),12.3091562,0.0018919659616390672,PCA,Fashion MNIST
trust,0.9114675143149285,0.00040851996831280026,PCA,Fashion MNIST
continuity,0.01460933333333334,0.0001863449608775432,PCA,Fashion MNIST
tiempo (s),2.007434302798356,0.09981321848732208,LDA,Fashion MNIST
memoria (Mb),629.554579,0.0,LDA,Fashion MNIST
trust,0.8059857813194629,0.0005309824160093836,LDA,Fashion MNIST
continuity,0.0037719999999999533,0.00014991849637573538,LDA,Fashion MNIST
tiempo (s),23.511634026000685,0.26991943800763024,UMAP,Fashion MNIST
memoria (Mb),889.744801,0.7756067826379833,UMAP,Fashion MNIST
trust,0.977620999688806,0.0011259497830823312,UMAP,Fashion MNIST
continuity,0.11711466666666663,0.0010645228456397009,UMAP,Fashion MNIST
tiempo (s),267.6743130755989,4.065432087944346,t-SNE,Fashion MNIST
memoria (Mb),315.5202868,0.0001772038374106912,t-SNE,Fashion MNIST
trust,0.9940106748021694,6.12291788779794e-05,t-SNE,Fashion MNIST
continuity,0.34407333333333334,0.0009428208266214379,t-SNE,Fashion MNIST
tiempo (s),17.560927445798008,0.4498619749790307,SOM,Fashion MNIST
memoria (Mb),158.040235,0.09293238903901932,SOM,Fashion MNIST
trust,0.9687129747043656,0.002412819803829657,SOM,Fashion MNIST
continuity,0.011492000000000013,0.0007983232428032976,SOM,Fashion MNIST
