dataset,init,update,mean_trustworthiness,std_trustworthiness,mean_continuity,std_continuity,mean_C,std_C
Iris,random,online,0.8953,0.0084,0.2803,0.0170,3.4340,0.5411
Iris,random,batchmap,0.8600,0.0133,0.2733,0.0363,4.8447,0.5777
Iris,random,minibatch,0.8934,0.0112,0.2690,0.0396,0.9080,0.0847
Iris,pca,online,0.9436,0.0127,0.3687,0.0297,0.2596,0.0139
Iris,pca,batchmap,0.9212,0.0112,0.3167,0.0357,0.2774,0.0143
Iris,pca,minibatch,0.9489,0.0080,0.3780,0.0263,0.2097,0.0072
Digits,random,online,0.9372,0.0067,0.0580,0.0070,2.9755,0.1571
Digits,random,batchmap,0.6998,0.0184,0.0173,0.0026,21.4273,0.2741
Digits,random,minibatch,0.9431,0.0047,0.0970,0.0066,3.8957,0.0898
Digits,pca,online,0.9739,0.0019,0.1459,0.0049,2.3354,0.0778
Digits,pca,batchmap,0.8641,0.0055,0.0671,0.0026,2.0373,0.0111
Digits,pca,minibatch,0.9679,0.0013,0.1298,0.0094,1.9673,0.0275
MNIST,random,online,0.9471,0.0023,0.0103,0.0003,13.0403,0.5234
MNIST,random,batchmap,0.6889,0.0151,0.0016,0.0002,82.9820,0.5327
MNIST,random,minibatch,0.9073,0.0027,0.0066,0.0002,16.1020,0.5213
MNIST,pca,online,0.9487,0.0023,0.0110,0.0004,13.6984,0.5764
MNIST,pca,batchmap,0.7360,0.0106,0.0021,0.0002,7.0512,0.0092
MNIST,pca,minibatch,0.9280,0.0026,0.0084,0.0004,8.2882,0.0936
Fashion MNIST,random,online,0.9704,0.0020,0.0116,0.0007,10.3513,0.2638
Fashion MNIST,random,batchmap,0.8146,0.0205,0.0021,0.0001,66.1291,0.1418
Fashion MNIST,random,minibatch,0.9398,0.0028,0.0064,0.0003,13.2161,0.7174
Fashion MNIST,pca,online,0.9685,0.0013,0.0116,0.0008,10.0739,0.3334
Fashion MNIST,pca,batchmap,0.8410,0.0109,0.0025,0.0003,7.4135,0.0071
Fashion MNIST,pca,minibatch,0.9551,0.0024,0.0084,0.0008,6.9873,0.0509
