index,mean,std,method,dataset
tiempo (s),0.0013801482004055289,9.576186892286132e-05,PCA,Iris
memoria (Mb),0.011998600000000002,0.000710620714586902,PCA,Iris
trust,0.9785089285714286,0.0020956111427237437,PCA,Iris
continuity,0.6566666666666666,0.022760833806246127,PCA,Iris
tiempo (s),0.002521622600033879,8.423436998714199e-05,LDA,Iris
memoria (Mb),0.017994,0.00037789548819746385,LDA,Iris
trust,0.905690476190476,0.00884713981871762,LDA,Iris
continuity,0.3786666666666666,0.01604680653588119,LDA,Iris
tiempo (s),0.11798177079981542,0.0023335759579169602,UMAP,Iris
memoria (Mb),0.326124,0.0,UMAP,Iris
trust,0.9808720238095237,0.0014665327682192224,UMAP,Iris
continuity,0.6646666666666666,0.007940752833047703,UMAP,Iris
tiempo (s),0.7007920042000478,0.16984354437243765,t-SNE,Iris
memoria (Mb),0.6743106,0.00024401700760398904,t-SNE,Iris
trust,0.9875684523809524,0.0015606777923342187,t-SNE,Iris
continuity,0.7233333333333334,0.01532064692570853,t-SNE,Iris
tiempo (s),0.0141179601996555,0.00046375939688912633,SOM,Iris
memoria (Mb),0.05534659999999999,0.0016898916533316564,SOM,Iris
trust,0.9261964285714285,0.006675758442265457,SOM,Iris
continuity,0.32,0.018295415333416797,SOM,Iris
tiempo (s),0.0020383574003062675,0.00016011045398739852,PCA,Digits
memoria (Mb),0.09208559999999999,3.0410524493996522e-05,PCA,Digits
trust,0.8271674329205766,0.0021831320905113223,PCA,Digits
continuity,0.08875913058711601,0.0017265617951290222,PCA,Digits
tiempo (s),0.005193090599641436,0.00011455966370624141,LDA,Digits
memoria (Mb),1.6067854000000001,0.0005498043288297544,LDA,Digits
trust,0.7996220961604547,0.0071926477073761055,LDA,Digits
continuity,0.06377296620315656,0.003124908337043974,LDA,Digits
tiempo (s),3.7621976333997735,0.18937164156878591,UMAP,Digits
memoria (Mb),33.6599016,0.025156476001221645,UMAP,Digits
trust,0.9884773947623995,0.00048320171474194233,UMAP,Digits
continuity,0.43161020631957125,0.010021144012557829,UMAP,Digits
tiempo (s),6.698014692399738,0.7423823485111721,t-SNE,Digits
memoria (Mb),7.884207399999999,0.002996864411347421,t-SNE,Digits
trust,0.9947709092899275,0.0003992224849083125,t-SNE,Digits
continuity,0.5993601838167331,0.00332994102946846,t-SNE,Digits
tiempo (s),0.14818574920063837,0.006483885341162666,SOM,Digits
memoria (Mb),0.7661543999999999,0.00019766335016892637,SOM,Digits
trust,0.9734481840557361,0.0014671151614655653,SOM,Digits
continuity,0.1407636447048644,0.005271992184275227,SOM,Digits
tiempo (s),0.2615928924002219,0.009936703228934413,PCA,MNIST
memoria (Mb),12.3081164,0.0009125057808036985,PCA,MNIST
trust,0.7344857065439673,0.0016398445062406994,PCA,MNIST
continuity,0.008157333333333395,0.0003228553167528376,PCA,MNIST
tiempo (s),1.9063593071994547,0.046263266839702076,LDA,MNIST
memoria (Mb),398.1058664,0.054852802460755544,LDA,MNIST
trust,0.7018878712990131,0.002860829549788415,LDA,MNIST
continuity,0.003964000000000012,0.00014403703227528871,LDA,MNIST
tiempo (s),13.70085701979915,0.6226250711293795,UMAP,MNIST
memoria (Mb),485.1854,0.46036196580135796,UMAP,MNIST
trust,0.9598653247977239,0.000663537160119917,UMAP,MNIST
continuity,0.1149706666666666,0.000944111575327164,UMAP,MNIST
tiempo (s),132.62828860060034,2.458581584241948,t-SNE,MNIST
memoria (Mb),197.22422699999998,0.0009295197684894636,t-SNE,MNIST
trust,0.995158379879079,0.00012603058267015492,t-SNE,MNIST
continuity,0.4307853333333333,0.0011173918043571188,t-SNE,MNIST
tiempo (s),9.583695180401264,0.8448680530083322,SOM,MNIST
memoria (Mb),99.4438952,0.15568008562015642,SOM,MNIST
trust,0.9433021638214634,0.0026090033859727663,SOM,MNIST
continuity,0.010102666666666682,0.0006983249800614328,SOM,MNIST
tiempo (s),0.26851380479929504,0.0029199104749750024,PCA,Fashion MNIST
memoria (Mb),12.308115599999999,0.0006969808462218911,PCA,Fashion MNIST
trust,0.9119681633769006,0.0003685352428361917,PCA,Fashion MNIST
continuity,0.01480666666666668,0.0003704351795148838,PCA,Fashion MNIST
tiempo (s),1.9706975363995298,0.019769818272682926,LDA,Fashion MNIST
memoria (Mb),398.1265758,0.09870681428958757,LDA,Fashion MNIST
trust,0.8072500806437273,0.0013204604920741085,LDA,Fashion MNIST
continuity,0.0036773333333333324,9.364234559689895e-05,LDA,Fashion MNIST
tiempo (s),14.614858447800362,0.29330491913890716,UMAP,Fashion MNIST
memoria (Mb),504.580288,0.37307628511070506,UMAP,Fashion MNIST
trust,0.9778120942028986,0.0009418558894412262,UMAP,Fashion MNIST
continuity,0.1204,0.0005473166867139196,UMAP,Fashion MNIST
tiempo (s),135.69401644839962,3.185804665114792,t-SNE,Fashion MNIST
memoria (Mb),197.2239692,0.00018721431569327374,t-SNE,Fashion MNIST
trust,0.9946617857206366,9.365472967348463e-05,t-SNE,Fashion MNIST
continuity,0.379072,0.0009797550714336757,t-SNE,Fashion MNIST
tiempo (s),10.932086980599706,0.7178472222263031,SOM,Fashion MNIST
memoria (Mb),99.57144760000001,0.09264593761358371,SOM,Fashion MNIST
trust,0.9674889234462525,0.001116078016028449,SOM,Fashion MNIST
continuity,0.011773333333333325,0.0005142200134400351,SOM,Fashion MNIST
