dataset,init,update,mean_trustworthiness,mean_continuity
Iris,random,online,0.8283,0.4560
Iris,random,batchmap,0.7962,0.4000
Iris,random,minibatch,0.7962,0.4000
Iris,pca,online,0.9163,0.5693
Iris,pca,batchmap,0.9061,0.5507
Iris,pca,minibatch,0.9061,0.5507
Digits,random,online,0.9635,0.3279
Digits,random,batchmap,0.8761,0.1735
Digits,random,minibatch,0.8761,0.1735
Digits,pca,online,0.9620,0.3411
Digits,pca,batchmap,0.9501,0.2919
Digits,pca,minibatch,0.9501,0.2919
MNIST,random,online,0.9475,0.0259
MNIST,random,batchmap,0.8206,0.0088
MNIST,random,minibatch,0.8206,0.0088
MNIST,pca,online,0.9490,0.0265
MNIST,pca,batchmap,0.9160,0.0169
MNIST,pca,minibatch,0.9160,0.0169
Fashion MNIST,random,online,0.9710,0.0286
Fashion MNIST,random,batchmap,0.9053,0.0096
Fashion MNIST,random,minibatch,0.9053,0.0096
Fashion MNIST,pca,online,0.9697,0.0277
Fashion MNIST,pca,batchmap,0.9460,0.0144
Fashion MNIST,pca,minibatch,0.9460,0.0144
