dataset,init,update,mean_trustworthiness,mean_continuity,mean_C
Iris,random,online,0.8283,0.4560,7.4555
Iris,random,batchmap,0.7962,0.4000,9.1401
Iris,random,minibatch,0.9424,0.6307,6.7215
Iris,pca,online,0.9163,0.5693,6.0778
Iris,pca,batchmap,0.9061,0.5507,6.1782
Iris,pca,minibatch,0.9264,0.5867,6.7672
Digits,random,online,0.9635,0.3279,60.9531
Digits,random,batchmap,0.8761,0.1735,68.5818
Digits,random,minibatch,0.9614,0.3258,59.9230
Digits,pca,online,0.9620,0.3411,61.1835
Digits,pca,batchmap,0.9501,0.2919,59.2243
Digits,pca,minibatch,0.9637,0.3233,59.7561
MNIST,random,online,0.9475,0.0259,2356.9753
MNIST,random,batchmap,0.8206,0.0088,2369.1612
MNIST,random,minibatch,0.9422,0.0234,2356.6676
MNIST,pca,online,0.9490,0.0265,2357.2807
MNIST,pca,batchmap,0.9160,0.0169,2346.8991
MNIST,pca,minibatch,0.9446,0.0252,2351.8874
Fashion MNIST,random,online,0.9710,0.0286,3098.8392
Fashion MNIST,random,batchmap,0.9053,0.0096,3098.7831
Fashion MNIST,random,minibatch,0.9678,0.0242,3096.1524
Fashion MNIST,pca,online,0.9697,0.0277,3097.7636
Fashion MNIST,pca,batchmap,0.9460,0.0144,3090.5722
Fashion MNIST,pca,minibatch,0.9680,0.0266,3094.4388
